8.644155616680885548e-04 4.070000000000000000e+02
1.340032864411447810e-04 4.910000000000000000e+02
1.962043038852695012e-05 6.240000000000000000e+02
2.698017061198010251e-06 8.270000000000000000e+02
3.643065261760235137e-07 1.147000000000000000e+03
4.925842594668750169e-08 1.532000000000000000e+03
6.685387919614472673e-09 2.064000000000000000e+03
9.112303611746441534e-10 2.813000000000000000e+03
1.247063728227676309e-10 3.856000000000000000e+03
1.712750943241203837e-11 5.312000000000000000e+03
2.359508521192805373e-12 7.335000000000000000e+03
3.254010888449560220e-13 1.018900000000000000e+04
